新聞來源,發佈時間,網址,標題,內容,發佈日期
台大,2014/3/24 18:32,http://www.facebook.com/,NA,"【人物側寫】台大研究生協會會長 戴瑋姍



文／張庭瑜、林近、蔣宜婷



昨天早上八點多校學生代表共同招開罷課聲明記者會，呼籲學生走上街頭支持反黑箱服貿。發言代表之一台大研究生協會會長戴瑋姍表示，即使錯過課堂，投入這場運動更有意義。

 

戴瑋姍說明，服貿簽訂後最大的受害著就是學生，因此學生更應該走上街頭。她認為，比起缺席課堂損失的權益，走上街頭與相同理念的人相處，看到不一樣的世界更有收獲。她表示自己雖然積極與學校師長溝通，希望校方能批准公假通融參與抗爭的學生，但校長楊泮池以上課為學生本分，維護其他學生權益為由，回絕她的提議，台大校方也未參與此次聯署。

 

關於政治系缺席昨日臺大多院所聲明，她表示痛心。她指出，台大學生在台灣民主運動中，時常扮演領導角色，但政治系教授從未公開表態支持，令她非常失望。

 

戴瑋姍表示，昨晚於行政院發生的流血衝突，主流媒體將學生塑造成非理性、學運充斥暴力，使得未參與其中的社會大眾產生誤解，她認為應被質疑的是政府，而非警方或學生。她也說，雖然學生可能過於莽撞，未妥善評估佔領行動的危險性，但她能理解他們的動機，因為害怕長期靜坐立法院，恐缺乏突破僵局的機會。戴瑋姍表示，她會持續支持每一位同樣站在反黑箱服貿陣線的朋友。",2014/3/24
台大,2014/3/24 18:22,http://www.facebook.com/807378222624732,NA,"【青島東路側】



凌晨一點五十二分，在中山南路與青島東路路口，有不明人士丟下煙火就跑，記者到場時地面只剩下煙。



同一時間有不明人士毆打在場群眾，現場有刀械掉在地上，有人受傷送醫。鬧事者現已被警方逮捕，警察局分局長現正在場處理突發事件，目前青島路口封閉，民眾要進入須繞道。



濟南路舞臺主持人中斷現場電影播放，提醒民眾注意安全不要單獨行動。",2014/3/24
台大,2014/3/24 18:08,http://www.facebook.com/,NA,[服貿議題]民進黨的朋友應參加公平的辯論，否則，世人會認定:在野黨志在執政權，意欲拖垮國家經濟民生。電視台的座談，好幾個名嘴喜歡搶別人發言、打斷別人的發言。故公平的辯論，說出反服貿的理由，接受支持服貿者的考驗，讓正、反雙方公平的說服百姓，真金不怕火，怕火非真金。,2014/3/24
台大,2014/3/24 18:08,http://www.facebook.com/,NA,http://m.youtube.com/watch?list=PL7X0EtIoZRgFOWR2dT6-v1gV8zQ7WCE1d&v=ooGzwDSvoow,2014/3/24
台大,2014/3/24 17:58,http://www.facebook.com/,NA,NA,2014/3/24
台大,2014/3/24 17:55,http://www.facebook.com/807363489292872,NA,"【濟南舞台】

今夜舞台正播映《華麗的假期》，敘述南韓民主化進程中重要的「光州事件」。片中呈現許多震撼性的武力鎮壓畫面，連在場員警也頻頻投射目光。",2014/3/24
台大,2014/3/24 17:51,http://www.facebook.com/,NA,"給我媽及全台灣的媽

過去一個星期你應該是默默的看著我的臉書持續的丟出憤恨不平的文章，對話與轉載。昨晚的台灣，有許多大學生，研究生被打破頭了，這些人可能是來自台大，清大等「頂尖大學」，這些學校不就是當年我們拼了命的希望能夠擠進的學校，有人說這些學生是暴民，有人說這些學生在鬧事，難道這些學校教出來的學生這麼壞？？

不是的！以前我去參加什麼造勢晚會，我對台灣的政策，議題有意見的時候，你總是假裝沒聽到，或是回我「說這麼多幹嘛，好無聊啊」，可是這是學校教育我們的，學業越高，社會正義感越強烈，我們沒有辦法假裝沒看見，假裝沒聽到，假裝明天的台灣會是快樂的，這些學生的畢業證書都是台灣社會認為是精英的學校，你可曾想過，怎麼這些聰明的精英學子，一走上街卻成了暴民，成了不理智的抗議者？這一次我真的希望你以一個母親的角度好好的看看這次的事件，因為現在坐在立法院的學生，以及昨晚被打破頭或是全身被強力水柱沖濕的學生，學歷可能都比我高，難道這些學生跟我一樣「唸書唸到腦子燒壞了？」

跟這些學生相比，我算是相對幸運的，因為我住在紐約，我多了一個選擇居住地點的權利，但這也是我這次會無比心痛的原因，因為我有自己的孩子了，我曾跟你講過不止一次，「台灣再這樣被馬英九搞下去，我真的回不去了」，因為我必須為了我的女兒著想，我希望她能夠在公平正義的社會成長，她的未來是有受到國家保障的，她的生命，工作權與公民權都是受到保護的，因為我要保護我的女兒，所以台灣再這樣被馬英九搞下去，我並不願意，但我只能放棄台灣。

媽，還有全台灣的媽，我們從小學校就教我們要當個「有用的人」，難道這些問題我們看在眼裡，還要我們吞下去，泯滅自己的良心嗎？什麼才是「有用的人」？是採取行動保護著自己認為是最珍貴的民主價值而上街頭？還是窩在家裡當媽寶，要媽做飯洗衣服？

媽，我不求你上街，你退休了應該享福，我很高興至少你搬離台北了，但我要讓你知道，我們不是傻子，我們不是激進分子，我們只是因為書多念了點，自許多一份社會責任，看到不平等的事情，我們願意挺身而出，我們願意以自己的能力，不論是上街，或是在臉書上幫忙將真相公開，我們只是用我們的方式在保護我們的家！",2014/3/24
台大,2014/3/24 17:48,http://www.facebook.com/807362322626322,NA,"【場外即時】



甩炮騷動排解後，小群民眾群聚詢問現場狀況，一度與側牆員警產生緊張，但經目擊者討論證實後已化解糾紛。



台藝大劉同學自備大聲公表示：「為什麼我要詢問誰來鬧事反而會被阻擋？為什麼我們要服從不知道身分為何的志工與糾察？為什麼只有他們能拿大聲公講話？這是不是一種權力階級？另外我只是想要喚醒參與群眾的警覺性，要小心鬧事份子。」



現場狀況經民眾交互討論已穩定，目前形成一小圈輪流持大聲公小聲討論近日社運的所見所聞。",2014/3/24
台大,2014/3/24 17:45,http://www.facebook.com/,NA,"「義大利記者要把行政院暴力現場消息登上義大利頭版，請各位找你們所能找到最惡劣的攻擊照片，寄到:

mirkosilvestrini@gmail.com

英文溝通可,請用力轉發!!!! 外國人都看不下去，他想盡力幫我們!!!

請把馬英九的暴行散佈全世界！

廣傳。」

讚 ． 分享",2014/3/24
台大,2014/3/24 17:42,http://www.facebook.com/,NA,"另一個很值得學生看的文章，現在大家要好好打這場戰，任何策略都值得好好參考

https://www.facebook.com/chetbaker1010/posts/242014702651548",2014/3/24
台大,2014/3/24 17:41,http://www.facebook.com/,NA,"台大新聞e論壇

這裡,才是最真實的主流媒體

我就守著這裡,哪兒也不去。



謝謝記者們的衝鋒陷陣!謝謝你你們報導著真相~你們辛苦了!



不論立場為何,盼望這太陽花能照亮臺灣的黑暗。



“請政治別再視我們如草芥,我們早已長成足以決定氣候的大樹了

我們會在有光的地方綻放”

(引Dorothy)



Keep praying…",2014/3/24
台大,2014/3/24 17:39,http://www.facebook.com/,NA,加油 ∼ 安全  ∼ 平安,2014/3/24
台大,2014/3/24 17:35,http://www.facebook.com/,NA,NA,2014/3/24
台大,2014/3/24 17:33,http://www.facebook.com/,NA,"這場運動我真的好想贏!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!



http://smash327.pixnet.net/blog/post/100970729",2014/3/24
台大,2014/3/24 17:30,http://www.facebook.com/,NA,"【整理報導】



清大社會所學生魏揚昨遭檢方聲押，稍早雖無保釋放，清大社會所師生及校友仍認為魏揚被檢方聲押一事必須追究，發起所內同學及校友連署，發表聲明共同聲援魏揚，目前連署人數約為六十人，持續累積中。聲明內容如下：



清大社會所師生、校友共同聲援魏揚聲明

我們是清華大學社會學研究所的教職員、在學學生及畢業校友。對於此次行政部門動用鎮暴警察鎮壓於行政院進行和平抗爭的群眾，我們共同表達最嚴正的抗議；而清大社會所學生魏揚在行政院現場保護群眾與穩定局勢所展現的勇敢擔當，我們深感敬佩並給予最大的支持：

1、魏揚協助與引導群眾於行政院和平靜坐，是非暴力抗爭的表現。魏揚無罪，無須承擔任何民刑事責任。 

2、我們譴責警方先以施以武力，續以檢方羅織罪名聲押魏揚。是國家機器對於持不同意見者最嚴重的暴力展現。我們要求追究個別施暴警員、現場指揮官、警政署長與行政院長的法律及政治責任；並保證不對包括魏揚在內的學運參與者進行事後任何法律或政治性清算。 

3、行政及立法部門應盡快回應群眾訴求，挽回公民對國家體制的信任。",2014/3/24
台大,2014/3/24 17:29,http://www.facebook.com/10202640606129306,NA,"我自己突然用手機畫的

送給大家!  #prayfortaiwan",2014/3/24
台大,2014/3/24 17:28,http://www.facebook.com/,NA,"看了幾天 周末也有參與立院的靜坐

覺得這篇還是最有建設性

提供給你們參考

http://mhperng.blogspot.tw/2014/03/blog-post_2732.html#more",2014/3/24
台大,2014/3/24 17:19,http://www.facebook.com/,NA,"不能到場的朋友請下載這個連結 授權學生代表你們在此集會表達立場並為公民發聲

www.bqhouse.com.tw/knowhow/07/其他/授權書.doc",2014/3/24
台大,2014/3/24 17:18,http://www.facebook.com/807341379295083,NA,"【濟南路側】

方才有人在外交部領事事務局前方丟擲甩炮，引起現場騷動。經警方及現場糾察上前詢問，丟擲甩炮者已離場。



有現場民眾觀察到今日進出立院現場民眾較為複雜，請目前人在立院周邊的朋友提高警覺，注意身旁人們的動態。",2014/3/24
台大,2014/3/24 17:17,http://www.facebook.com/,NA,"【場內即時】

主辦單位提醒民眾，目前有詐騙集團盜用主辦單位的line帳號，以昨天攻行政院受傷的名義詐騙，提醒大家要注意。",2014/3/24
台大,2014/3/24 17:15,http://www.facebook.com/,NA,"這就是陸媒 還訪問邱毅

重點是把太陽花說成香蕉

https://www.youtube.com/watch?feature=player_embedded&v=QzMZ7nqF9Pk",2014/3/24
台大,2014/3/24 17:11,http://www.facebook.com/,NA,"白的趕不走換黑的來亂,黑白兩道皆出動,服貿內幕到底有多大?",2014/3/24
台大,2014/3/24 17:03,http://www.facebook.com/,NA,NA,2014/3/24
台大,2014/3/24 16:51,http://www.facebook.com/807329932629561,NA,"【場外動態】

導演柯一正青島東短講 請馬政府傾聽民意



文／吳孟芯、蘇湘棻　　圖／賴郁臻



晚間九時許，柯一正接連三聲「大家要堅持」，獲得民眾熱烈掌聲。他回憶第一天和學生在立法院抵擋警方的四波攻堅，尤其是第四波警察幾乎要抽光現場屏障的椅子，場面一度緊張，但學生的堅持守住立法院，場外也不斷有人群聲援，「裡面的堅持其實是靠外面大家給的。」



柯一正表示，現場堅持的學生，有些不顧家長反對堅持留下；也有的人收到家人鼓勵的信件，希望他不要放棄。他也呼籲大人應與學生一起站出來，並希望在場民眾除了注意身體健康，更要發揮群眾力量，找更多的人來，二十四小時都能有人在場外聲援，「我們希望，讓馬政府聽清楚我們到底要什麼」。",2014/3/24
台大,2014/3/24 16:51,http://www.facebook.com/807330865962801,NA,"【議場內部】

「我今天帶來苗栗的特產，苗栗的特產是劉政鴻，還有很多抗爭。」陳為廷邊說卻邊拿出箱子裡的薑糖。



薑糖是違法土地徵收受害戶的彭秀春為抗爭學生所做，在一連串的大埔事件抗爭中，張藥房歷經被拆，男主人過世，薑糖是彭秀村歷經悲傷後凝聚力量的產物，被視為對土地徵收、眾多抗爭的象徵。",2014/3/24
台大,2014/3/24 16:45,http://www.facebook.com/,NA,NA,2014/3/24
台大,2014/3/24 16:45,http://www.facebook.com/,NA,"http://www.youtube.com/watch?v=Xs8efrxaB6A#t=13



http://www.youtube.com/watch?v=xv1GqOJN8s0&feature=youtu.be



不知道要怎麼提供給律師

我只好提供在這裡

我有備份",2014/3/24
台大,2014/3/24 16:44,http://www.facebook.com/807323615963526,NA,"【濟南舞台】

鴻鴻說，當昨天夜裡警察的鐵靴踏在學生身上時，我們才警覺到，我們一直沒有意識到有一些人，平常就穿著西裝皮鞋、踐踏在我們身上。



鴻鴻也說，學校的主體是學生，學生罷課不需要獲得上級的同意；就跟國家的主體是公民一樣，公民造反也不需獲得統治者的同意。教育部長有這個官位做，全要感謝坐在這裡的學生！",2014/3/24
台大,2014/3/24 16:44,http://www.facebook.com/,NA,對於不良分子鬧場不知道有沒有人有建議的因應方式????,2014/3/24
台大,2014/3/24 16:38,http://www.facebook.com/807321832630371,NA,"【場外動態】

文／蔣宜婷、圖／陳睿哲



陽明大學詹同學在議場內待了7天，她在濟南路民主舞台感謝外面同學們的守護。她直說，從議場窗戶往外看，發現有這麼多人的時候，便覺得一切還是有希望，她認為，每個坐在這裡的人，都掙脫了平常生活的束縛，才能到達現場。



她鼓勵在場同學，會走上街頭，就代表內心有許多想法，不僅是坐在台下，也可以用自己的有創意的方式，寫下或畫下自己的故事、朋友的故事，「用我們的方式，記錄下歷史的新頁」。



她也鼓勵同學打給自己系學會會長，連署罷課。



第一天進入了議場，昨天也在行政院現場的陽明大學劉同學直說，要疑慮警察是否會對民眾或學生動粗時，應該要想的是，「如果政府有傾聽人民的能力，為什麼他們要怕人民？」她認為，警力不該成為行政機關的外牆，阻隔人民的力量。",2014/3/24
台大,2014/3/24 16:33,http://www.facebook.com/,NA,注意一下昨天的舊聞一直在浮上來的問題,2014/3/24
台大,2014/3/24 16:27,http://www.facebook.com/,NA,"給身邊有深藍家庭的朋友看

不要再妖魔化學生了

先了解 這個政府到底隱藏了什麼事



http://www.ptt.cc/bbs/Gossiping/M.1395585526.A.0A9.html",2014/3/24
台大,2014/3/24 16:22,http://www.facebook.com/,NA,"想請大家都看一下持不同論點的人是如何看待此次事件

https://docs.google.com/viewer?srcid=0B5PXyEVKhALbOFVjOUpfQlduaTA&pid=explorer&efh=false&a=v&chrome=false&embedded=true",2014/3/24
台大,2014/3/24 16:21,http://www.facebook.com/,NA,"若是不要為了反而反，

 看完我的一個小小見解，

 再來決定是不是要反，

 很簡單的說個論點，

 當服貿通過開放之後，

 大陸人會陸續來台灣開店，

 以現值來購買台灣的不動產，

 然而陸續將房價漸漸炒高，

 假設大陸開了十倍薪資徵才，

 一定會有不少人前往應徵，

而身旁的人也會跟著支持，

 因為有高薪工作可以去做，

 那為何還要留在這領22k，

 台灣人也陸續前往大陸工作，

 去了之後不知道會怎樣，

 或許很順利又或許被虐待，

 順利的話，

 到年紀大了想要回台灣養老，

 被虐待的話，

 因為無法忍受委屈想回台灣，

 台灣就已經充斥著大陸人，

 各行各業都充斥著大陸人，

 你想在大陸人的腳底下工作，

 可能大陸人還不屑讓我們做，

 那你想買個房子過下半輩子，

 或是想租個店面自己做生意？

 房價早就已經被炒成天價了，

 變相的這等於是在吞噬台灣，

 大陸當然要馬英九立刻通過，

 馬英九又怎麼會拒絕呢？

 看了阿扁貪污被關在牢裡，

 他完全不會笨到再去貪污，

 或許大陸給了他更多好處，

 簡單幾個文字幾句言語，

 大陸就可以簡單的得到台灣，

 那至於那個馬卡茸呢？

 反正他也已經連任過了，

 他接下來也不用再幹了，

 他當然可以開始擺爛，

 反正也快可以退休了，

 那他退休了之後呢，

 我敢保證一定會躲去大陸。",2014/3/24
台大,2014/3/24 16:19,http://www.facebook.com/,NA,"台大新聞所的學長姐辛苦了

欽佩你們不斷更新的中立真實報導

期望你們一切平安",2014/3/24
台大,2014/3/24 16:15,http://www.facebook.com/,NA,"我沒權限在底下回文、另po文，只好選擇在這裡轉載這文…http://disp.cc/b/#!163-7tj3，讓更多人知道、幫忙。

也在此跟 ptt 原po說聲抱歉，轉載了您滴文~",2014/3/24
台大,2014/3/24 16:11,http://www.facebook.com/,NA,"我還是覺得衝去行政院的背後

絕對不是出自於學生的不理性

感覺有某些人在背後慫恿帶頭

進而讓江宜樺能夠合理的鎮暴

",2014/3/24
台大,2014/3/24 16:11,http://www.facebook.com/,NA,"我真的很不懂服貿~~當那些所謂的""官員""口口聲聲說我們都不懂，說我們沒有詳讀，說我們沒有資格批評""這麼好""的服貿協議~~這麼好，何不請他們把協議所有原文，所有協議條文拿到立院，給同學們一條一條發表出來研究，讓所有全台灣百姓可以真正了解它的""好""~~~其實占著立院，撐再久，政府也不會多給任何善意回應~~不如趁機會，利用有空要求最簡單也最容易的...((我不一定要反對服貿，但我一定要完全了解服貿，絕對不可以黑箱作業))",2014/3/24
台大,2014/3/24 16:10,http://www.facebook.com/807301775965710,NA,"【議場內部】

【議場裡的演唱會】 文/程晏鈴 攝影/吳宗泰 錄影/蔣金



「能在立法院開演唱會蠻屌的。」由主唱兼吉他阿達、大提琴俐君、非洲鼓阿展三個人所組成的農村武裝青年樂團晚間在立法院內表演。



農村武裝長期關注環保、土地以及農村相關議題，也關注此次服貿議題。主唱阿達說，身為一個創作人歌手，希望能盡最大的本分。「我的國家，我們的總統用暴力欺騙的方式對待人民，我不可能當作沒看到，」阿達在演唱前也幫議場內民眾加油，並道出自己的感謝。



農村武裝帶來的第一首歌─找阿找，阿達認為，現在大家都在尋找，找自己的根，找土地，找祖先留下來的一切。阿達說，政府制定的所有的政策將民眾連根拔起，「他們不希望我們有根，而我們只能努力地找，用力地找。」



在連續唱了五首歌之後，林飛帆突然宣布魏揚無保釋放，全體歡聲雷動，跟著音樂有節奏地拍手，高唱「沒正義就沒有和平」，結束時全場跟著林飛帆大喊魏揚無罪，同學無罪，」氣氛異常亢奮，士氣大振。",2014/3/24
台大,2014/3/24 16:09,http://www.facebook.com/,NA,"【立院即時】

議場內大會報告，魏揚無保釋放，群體激昂，林飛帆帶領群眾高喊：魏揚無罪！同學無罪！",2014/3/24
台大,2014/3/24 16:06,http://www.facebook.com/807306295965258,NA,NA,2014/3/24
台大,2014/3/24 16:04,http://www.facebook.com/,NA,"【立院即時】

議場內大會報告，魏揚無保釋放。",2014/3/24
台大,2014/3/24 16:04,http://www.facebook.com/807296659299555,NA,"【E論壇花絮】



一小時前濟南路舞台收到一張紙條，上頭寫的是一名廣電系同學給台大新聞E論壇的鼓勵。



昨晚E論壇緊急動員，將近二十名記者駐守行政院內外各現場透過電話和網路不斷傳送現場情況到編輯台，整夜未歇。



身為媒體，所有人無暇顧及自身情緒，只希望確實而迅速的發佈新聞，然而，在現場目睹一切的記者們至今想到當時景況仍然忍不住發抖，編輯在返家路上時也無法控制情緒而哭了出來。



看著在面前發生的一切，卻要不斷提醒自己保持冷靜，畢竟報導事實是我們的職責，對於絕大多數還是學生的E論壇編輯記者，並不容易。謝謝這位朋友的小紙條，也謝謝所有朋友的打氣和鼓勵，我們會繼續加油，還請大家多多指教。保重。",2014/3/24
台大,2014/3/24 15:51,http://www.facebook.com/,NA,NA,2014/3/24
台大,2014/3/24 15:49,http://www.facebook.com/,NA,暴民學生，入主國會殿堂，你們以為自己是誰，講話像皇帝一樣，天下百姓，都要聽你們，士農工商都不用工作，有娘養，無娘教，亂臣賊子，禍國殃民，殺一儆百，天下太平。打著民主的大旗，行破壞國家機關之實，想學闖王李自成，進北京，做皇帝，目無法紀，終將遭自滅亡。還讀書人呢？根本就是文妖，竹林七賢，整天空談講玄，對國家民族毫無弼益。對國際局勢毫不了解，坐井觀天，夜郎自大，你說的就是民主，別人就是狗屎，你們這些學生，就像雍正皇帝說的阿其那，塞思黑，豬狗都不如的東西。中國法律你們懂嗎？知己知彼，百戰百勝。一個個跟吸毒一樣，不學無術的爛咖。你說審服貿就要聽你的，你是太上皇，沒教養的蠢狗，父母還活在過去，可憐蟲，讀書的目的在經世致用，網軍詐騙集團，騙爹騙娘騙百姓。這種敗類，不加以嚴懲，就跟清末一樣，捻亂，回亂，台灣亂。禍亂朝政，欺蒙百姓，嚴刑峻法以處之。看誰敢再無理取鬧。,2014/3/24
台大,2014/3/24 15:36,http://www.facebook.com/,NA,http://youtu.be/2K8azw66xUM  現在心情只像抓狂歌一樣,2014/3/24
台大,2014/3/24 15:24,http://www.facebook.com/807290409300180,NA,"【場外動態】

導演王小棣在濟南路民主論壇發言：「當我們反服貿反黑箱的時候，心裡到底在想什麼？是我們心底對台灣生活的珍惜，這是不能被交易、不能被賤賣的，我希望大家坐在這裡，都可以寫一寫、想一想，你最珍惜的是什麼？經過這一次，台灣會不會過得更好？我們可以用歌、儀式、一些方式，我們要讓這次被台灣人記得。有一天我們都是台灣更進步的力量。」



發言到一半忽有數名年輕人踩著高蹺，高舉反服貿大旗從舞台後方向青島東路方向經過，現場民眾拍手歡呼。（攝影/李清遠）",2014/3/24
